Song,Artist,Song Lenght (ms),Popularity,Release date,Song Id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Tempo,Key,Loudness,Mode,Time Signature,Valence
No Es Justo,J Balvin,250840,72,2018-05-25,5qFeMRz4TvetPmzjre9Dq7,0.161,0.684,0.811,0.811,0.811,0.0714,87.866,7,-4.494,1,4,0.721
Adictiva,Daddy Yankee,207853,73,2018-11-09,6MJUCumnQsQEKbCy28tbCP,0.291,0.788,0.771,0.771,0.771,0.0563,99.038,4,-3.206,0,4,0.701
Contra La Pared,Sean Paul,224680,69,2019-03-14,37eGbhE1xVFSvcKkqGb6i1,0.0156,0.828,0.588,0.588,0.588,0.118,94.052,2,-7.14,1,4,0.598
Puntos Suspensivos,Piso 21,186315,78,2018-05-11,04cd1MHVq1D8v1nuTZoCdv,0.175,0.823,0.731,0.731,0.731,0.103,152.024,11,-3.399,0,4,0.952
La Escuela No Me Gustó,Adriel Favela,176000,75,2018-08-24,4qArKIA7dnmdushoBlkV94,0.323,0.836,0.766,0.766,0.766,0.0371,112.548,7,-6.229,0,4,0.844
La Mujer Perfecta,KURT,217906,59,2018-05-11,0mAGeks6ns4FZWBPkjD9HR,0.242,0.824,0.488,0.488,0.488,0.0669,155.11,9,-9.112,1,4,0.878
Another One Bites The Dust - Remastered 2011,Queen,214653,77,1980-06-27,57JVGBtBLCfHw2muk5416J,0.112,0.933,0.528,0.528,0.528,0.162,109.975,5,-6.472,0,4,0.756
Te Boté - Remix,Nio Garcia,417920,79,2018-04-13,3V8UKqhEK5zBkBb6d6ub8i,0.542,0.903,0.675,0.675,0.675,0.214,96.507,11,-3.445,0,4,0.442
BEBE,6ix9ine,217822,76,2018,3eqOaTqnyb0GEgv6JInG6W,0.172,0.635,0.902,0.902,0.902,0.109,102.062,0,-3.559,1,4,0.285
Brillas,León Larregui,224826,60,2012-01-01,6OKmGZASRCmiKQKz4hCNrs,0.341,0.628,0.462,0.462,0.462,0.0354,93.016,9,-11.813,1,4,0.308
Que Mas Pues - Remix,Sech,305962,73,2019-04-19,7fODjB7BrQTGqh0hogW6XD,0.121,0.647,0.661,0.661,0.661,0.2,113.358,11,-5.027,1,5,0.811
Prometiste,Pepe Aguilar,305120,75,2014-11-21,2UypFzxfaYgMUnQX2k4qtj,0.807,0.602,0.398,0.398,0.398,0.104,126.285,0,-9.503,1,4,0.603
